168 Medical Centre Ltd,0.00,20.00,25.00,30.00,30.00,30.00
652 Doctors Manukau Ltd,0.00,23.00,34.00,45.00,42.00,33.00
Alberton Medical Practice,0.00,33.00,42.00,45.00,45.00,35.00
All Care Medical Centre - Ponsonby,0.00,10.00,17.50,17.50,17.50,17.50
Anne Street Medical Centre,0.00,37.00,45.00,45.00,49.00,44.00
Medical Centre @ Apollo,0.00,41.00,41.00,55.00,55.00,50.00
Auckland Central Medical & Health Centre Ltd,0.00,23.00,42.00,49.00,45.00,32.00
Auckland Family Medical Centre,0.00,55.00,55.00,55.00,55.00,55.00
Auckland Integrative Medical Centre,0.00,34.00,38.00,38.00,36.00,35.00
Auckland Metro Doctors and Travelcare,0.00,41.00,57.00,57.00,57.00,57.00
Balmoral Doctors,0.00,40.00,44.00,44.00,45.00,43.00
Bayside Medical Practice Ltd,0.00,38.00,50.00,50.00,50.00,50.00
Botany Town Centre Medical Practice,0.00,30.00,36.00,38.00,36.00,36.00
Cairnhill Health Centre,0.00,40.00,40.00,40.00,40.00,40.00
Caliburn Medical Services Auckland,0.00,0.00,0.00,0.00,0.00,0.00
Caliburn Medical Services Manukau,0.00,0.00,0.00,0.00,0.00,0.00
Christian Medical Centre,0.00,0.00,15.00,15.00,15.00,15.00
Church Street Accident and Medical,0.00,38.00,38.00,38.00,38.00,33.00
Church Street Doctors Ltd,0.00,0.00,17.00,17.00,17.00,17.00
CityMed Doctors,47.00,54.00,56.00,56.00,56.00,54.00
Clendon Family Health Centre,0.00,11.50,17.50,17.50,17.50,17.50
Clendon Medical Centre,0.00,11.50,17.50,17.50,17.50,17.50
Clevedon Road Medical Centre,0.00,10.00,17.00,17.00,17.00,17.00
College Hill Doctors,0.00,24.00,42.00,49.00,42.00,32.00
Conifer Grove Medical Centre,0.00,11.50,17.50,17.50,17.50,17.50
Cornwall Medical Centre,0.00,28.00,38.00,38.00,38.00,38.00
Country Medical Clinic,0.00,20.00,35.00,38.00,38.00,32.00
Dean Campbell Medical Ltd,0.00,40.00,40.00,40.00,40.00,40.00
Devonport Family Medicine,0.00,43.00,45.00,45.00,45.00,45.00
Dr DM De Lacey,0.00,20.00,30.00,50.00,50.00,25.00
Dr JA Hanne Family Practice,0.00,11.50,17.00,17.00,17.00,17.00
Dr John Tseung,0.00,26.00,23.00,23.00,23.00,21.00
Dr Kala Magan,0.00,11.00,15.00,15.00,15.00,15.00
Dr Li Zhuang and Michael Wah,0.00,36.00,38.00,40.00,40.00,38.00
Dr Nicholas Cooper,0.00,42.50,42.50,42.50,42.50,42.50
Health I-Care Clinic,0.00,22.00,40.00,40.00,40.00,40.00
Dr Upsdell's Surgery,0.00,0.00,15.00,15.00,15.00,5.00
Drs Good and Shanks,0.00,45.00,46.00,46.00,46.00,45.50
Drs on Jervois,0.00,36.00,42.50,49.00,49.00,42.50
Drury Lane Surgery,0.00,30.00,30.00,35.00,35.00,30.00
Drury Surgery Ltd.,0.00,33.00,37.50,37.50,37.50,37.50
East Med,0.00,47.92,42.00,50.00,50.00,50.00
Ellerslie Medical Centre,0.00,40.00,40.00,40.00,40.00,40.00
Epsom Family Health Centre,0.00,40.00,40.00,40.00,40.00,40.00
Epsom Medical Centre,29.00,49.00,49.00,49.00,49.00,49.00
ETHC Glen Innes Ltd,0.00,0.00,10.00,10.00,10.00,10.00
ETHC Otahuhu Ltd,0.00,0.00,10.00,10.00,10.00,10.00
ETHC Sylvia Park Ltd,0.00,0.00,10.00,10.00,10.00,10.00
Family Doctors@Smales,0.00,40.00,50.00,50.00,50.00,45.00
Family Doctors -Whangaparaoa,0.00,30.00,37.00,37.00,37.00,37.00
Family Health Care Medical Centre,0.00,34.00,40.00,40.00,40.00,34.00
Fellbrook Medical Centre,0.00,11.00,17.00,17.00,17.00,17.00
Forrest Hill Family Medical Centre,0.00,34.00,42.00,42.00,42.00,40.00
Four Kauri Family Medical Centre,0.00,35.00,40.00,40.00,40.00,40.00
Freemans Bay Medical Centre,0.00,25.00,50.00,50.00,50.00,50.00
Glenfield Family Doctors,0.00,33.00,40.50,40.50,40.50,40.00
Green Bay Medical Centre,0.00,11.50,17.50,17.50,17.50,17.50
Green Cross Takapuna,0.00,36.00,38.00,38.00,38.00,36.00
Greenhithe Medical Centre,0.00,37.00,42.00,42.00,42.00,40.00
Greenstone Family Clinic,0.00,0.00,17.00,17.00,17.00,17.00
Greenwood Medical Centre,0.00,40.00,45.00,49.00,49.00,44.00
Grey Lynn Family Medical Centre,0.00,10.00,17.00,17.00,17.00,17.00
Hall Avenue Medical Centre,0.00,5.00,15.00,15.00,15.00,15.00
Health New Lynn Ltd,0.00,33.00,40.00,40.00,40.00,35.00
Healthcare Roskill South,0.00,26.00,30.00,40.00,40.00,30.00
Healthwise Beachhaven,0.00,38.00,38.00,38.00,38.00,38.00
Henderson Medical Centre,0.00,33.00,40.00,40.00,40.00,40.00
Herne Bay Medical Centre,0.00,38.00,40.00,40.00,40.00,40.00
Hillpark Family Medical Centre,0.00,15.00,25.00,25.00,25.00,20.00
Holistic Medical Centre,0.00,31.00,31.00,41.00,41.00,31.00
Howick Health and Medical Centre,0.00,38.50,38.50,42.00,42.00,42.00
Howick Medical Practice,0.00,23.00,28.00,32.00,32.00,25.00
Huapai Family Medical Practice,0.00,20.00,30.00,45.00,45.00,40.00
Hunters Corner 26 Medical Centre,0.00,18.00,32.00,32.00,32.00,32.00
Hunters Corner 28 Medical Centre,0.00,18.00,32.00,32.00,32.00,32.00
Johns Lane Surgery,0.00,39.00,40.00,40.00,40.00,40.00
Kaipara Medical Centre,0.00,11.50,17.50,17.50,17.50,17.50
Kingsland Family Health Centre,0.00,28.00,43.00,43.00,43.00,43.00
K' Road Medical Centre,0.00,0.00,40.00,40.00,40.00,30.00
Kumeu Village Medical Centre,0.00,35.00,48.00,50.00,50.00,48.00
Leabank Health Centre,0.00,11.50,17.50,17.50,17.50,17.50
Lincoln Rd Medical Centre,0.00,0.00,15.00,15.00,15.00,10.00
Luckens Road Medical Centre,0.00,32.50,34.00,37.00,36.00,36.00
Lynfield Medical Clinic,0.00,38.00,38.00,38.00,38.00,38.00
Lynnmall Medical Centre,0.00,11.50,17.50,17.50,17.50,17.50
Mairangi Medical Centre,0.00,20.00,38.00,46.00,50.00,50.00
Mangere Bridge Surgery,0.00,6.00,19.00,19.00,19.00,19.00
Mangere Bridge Village Family Health Centre,0.00,10.00,17.50,17.50,17.50,15.50
Mangere East Medical Centre,0.00,11.50,17.50,17.50,17.50,17.50
Mangere Health Centre,0.00,10.00,16.00,16.00,16.00,16.00
Manly Medical Centre,0.00,31.70,39.80,39.80,39.80,39.80
"Manukau Family Doctors, Acc & Med",0.00,0.00,15.00,15.00,15.00,15.00
Manukau Medical Associates,0.00,8.00,17.50,17.50,17.50,17.50
Manurewa Family Doctors Ltd,0.00,11.50,17.50,17.50,17.50,17.50
Manurewa Healthcare Medical Group,0.00,11.00,17.50,17.50,17.50,17.50
Manurewa Medical,0.00,11.50,17.50,17.50,17.50,17.50
Manurewa Peoples Centre,0.00,11.00,16.50,16.50,16.50,16.50
Massey Medical Centre,0.00,29.00,32.00,33.00,33.00,31.50
Maungakiekie Clinic,0.00,30.00,38.00,45.00,45.00,43.00
MCAM Medical Centre,0.00,10.00,17.00,17.00,17.00,17.00
Meadowbank Family Doctors,22.00,48.00,48.00,48.00,48.00,48.00
Meadowbank General Practice,20.00,46.00,55.00,55.00,55.00,52.00
Milford Family Medical Centre,18.00,48.00,54.00,54.00,54.00,50.00
Mt Eden Medical Centre,0.00,41.00,45.00,45.00,45.00,42.00
Mt Roskill Healthcare Ltd,0.00,11.50,17.00,17.00,17.00,17.00
Mt Wellington Family Health Centre,0.00,15.00,30.00,30.00,30.00,30.00
Mt Wellington Medical Clinic,0.00,23.00,39.00,39.00,39.00,32.00
My Doctor Ltd,0.00,30.00,48.00,48.00,48.00,48.00
New Windsor Road Surgery,0.00,36.50,36.50,38.00,38.00,35.50
Newmarket Medical Centre,0.00,40.00,50.00,50.00,50.00,46.00
Newton Medical Centre,0.00,28.00,30.00,30.00,30.00,28.00
Nile Road Family Medical Centre,0.00,11.50,17.00,17.00,17.00,17.00
Onehealth,0.00,43.00,53.00,53.00,53.00,53.00
Onehunga Doctors Ltd,0.00,11.50,17.00,17.00,17.00,17.00
Onehunga Family Medical Centre,0.00,11.50,17.50,17.50,17.50,17.50
Orewa Medical Centre,0.00,39.50,42.50,49.50,49.50,49.50
Otahuhu Family Doctors,0.00,11.00,17.00,17.00,17.00,17.00
Otahuhu Family Medical Centre,0.00,11.00,17.00,17.00,17.00,17.00
Otara Family & Christian Health Centre,0.00,6.00,17.00,17.00,17.00,17.00
Palms Health,0.00,20.00,30.00,30.00,30.00,30.00
Palomino Medical Centre,0.00,26.00,35.00,35.00,35.00,30.00
Panmure Medical Centre,0.00,32.00,37.00,37.00,37.00,36.50
Panmure Surgery,0.00,10.00,17.00,17.00,17.00,17.00
Papakura East Medical Clinic,0.00,11.00,17.50,17.50,17.50,17.50
Papakura Family Health Centre,0.00,24.00,34.00,34.00,34.00,34.00
Papakura Family Medical Practice,3.76,23.50,34.95,34.95,34.95,34.95
Papakura Family Medicine Clinic Ltd,0.00,26.00,44.00,44.00,44.00,44.00
Papatoetoe Family Doctors,0.00,28.00,40.00,43.00,45.00,38.00
Papatoetoe Medical Centre,0.00,18.00,31.00,31.00,31.00,31.00
Papatoetoe South Medical Centre,0.00,10.00,15.00,15.00,15.00,15.00
Parnell Family Doctor,0.00,40.00,55.00,55.00,55.00,55.00
Parnell Medical Centre Ltd,0.00,50.00,60.00,60.00,60.00,60.00
Pacific Horizon Limited Partnership,0.00,10.00,17.00,17.00,17.00,17.00
Peninsula Medical Centre,0.00,29.00,39.00,39.00,39.00,37.00
Ponsonby Medical Centre,32.00,49.00,50.00,61.00,61.00,52.00
Point Chevalier Medical and Surgical Centre,0.00,26.00,31.00,38.00,38.00,38.00
Puhinui Medical Centre,0.00,15.00,26.00,28.00,28.00,23.00
Ranfurly Medical Centre,0.00,40.00,47.00,47.00,47.00,45.00
Rangitoto Medical Centre,0.00,16.00,32.00,32.00,32.00,30.00
Ranui Medical Centre,0.00,0.00,15.00,15.00,15.00,15.00
Ratanui Medical Centre,0.00,11.50,17.50,17.50,17.50,17.50
Remuera Doctors Ltd,0.00,40.00,46.00,46.50,46.50,44.50
Remuera Medical Centre,28.00,56.00,56.00,56.00,56.00,56.00
Remuera Village Medical Centre,0.00,42.00,57.00,57.00,57.00,57.00
Residential Healthcare Ltd,0.00,0.00,0.00,0.00,0.00,0.00
Rosebank Road Medical Services,0.00,11.00,16.50,16.50,16.50,16.50
Rosehill Christian Medical Centre,0.00,5.50,16.00,16.00,16.00,11.00
Roselands Doctors,0.00,26.50,39.50,39.50,39.50,39.50
Royal Heights Medical Centre,0.00,31.00,39.00,40.00,40.00,37.00
Royal Oak Mall Medical Centre,0.00,35.00,45.00,45.00,45.00,45.00
St Patrick's Medical & Dental Centre,0.00,0.00,16.50,16.50,16.50,16.50
Sandringham Health Centre,0.00,0.00,15.00,15.00,15.00,10.00
Selwyn Medical Centre,0.00,40.00,55.00,55.00,55.00,55.00
Selwyn Village Medical Centre,0.00,0.00,0.00,0.00,0.00,36.00
St Heliers Health Centre,20.00,30.00,44.00,50.00,55.00,55.00
St Heliers Medical Centre,28.00,50.00,50.00,57.00,51.00,51.00
Stoddard Road Medical,0.00,11.50,17.50,17.50,17.50,17.50
Surrey Medical Centre,0.00,10.00,17.00,17.00,17.00,17.00
Swanson Medical Centre,0.00,11.50,17.50,17.50,17.50,17.50
Takanini Family Health Care,0.00,11.50,17.00,17.00,17.00,17.00
Te Atatu South Medical Centre,0.00,31.00,31.00,38.00,38.00,31.00
Te Puna Hauora,0.00,0.00,16.00,16.00,16.00,16.00
The Gardens Medical Centre,0.00,13.00,35.00,35.00,35.00,21.00
The Wood Street Doctors,0.00,11.50,17.00,17.50,17.50,17.00
Tiakina Te Ora,0.00,22.00,32.00,43.00,40.00,32.00
Titirangi Medical Centre,0.00,42.00,45.00,45.00,45.00,42.00
TL Care,0.00,11.00,17.00,17.00,17.00,17.00
Tuakau Health Care,0.00,31.50,37.50,42.50,42.50,38.00
Turuki Health Centre,0.00,0.00,15.00,15.00,15.00,15.00
Unitec Student Health Centre,0.00,8.00,8.00,30.00,30.00,30.00
Service,0.00,11.50,17.50,17.50,17.50,17.50
West Fono Health Trust,0.00,5.00,15.00,15.00,15.00,10.00
Westcare Cross New Lynn,0.00,0.00,0.00,15.00,15.00,15.00
Westgate Medical Centre,0.00,32.00,38.00,40.00,40.00,35.00
Westmere Medical Centre,0.00,41.00,41.00,41.00,41.00,41.00
Whangaparaoa Medical Centre,0.00,22.00,30.00,40.00,45.00,35.00
White Cross Lunn Ave,0.00,15.00,38.00,38.00,38.00,38.00
Windsor Medical Centre,10.00,36.00,43.00,43.00,43.00,40.50
Your Health Centre (Peter Cameron),0.00,17.00,29.00,29.00,29.00,28.00
